date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:25	303/303	---M--	403	error ('Forbidden')	text/html	date:Thu,%2024%20Nov%202022%2001:52:24%20GMT	http://ianenders.com/robots.txt		(from )
03:52:25	2848/2848	---M--	200	added ('OK')	text/html	etag:%22f9eb9e48dbbfce605d9b0c0cd6734c68%22	http://ianenders.com/	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/index.html	(from )
03:52:25	592/592	---M--	200	added ('OK')	text/css	etag:%22579a65e659ba91294bc201b5ca7b769c%22	http://ianenders.com/style.css	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/style.css	(from http://ianenders.com/)
03:52:26	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22e1cc5e6049ce78682f97a0226628aa37%22	http://ianenders.com/favicon.ico?v=1	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/favicon3860.ico	(from http://ianenders.com/)
03:52:26	4670/4670	---M--	200	added ('OK')	text/html	etag:%22caf95a651348a68e05bbc19ca76b7e6b%22	http://ianenders.com/resume.html	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/resume.html	(from http://ianenders.com/)
03:52:27	1487/1487	---M--	200	added ('OK')	text/css	etag:%22b4d1cfc2b758d708c062345885f4c8f4%22	http://ianenders.com/resume.css	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/resume.css	(from http://ianenders.com/resume.html)
03:53:44	1927658/1927658	---M--	200	added ('OK')	image/png	etag:%22f5168469c47b5184e1148e904d99cfdf%22	http://ianenders.com/gitrdone.png	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/gitrdone.png	(from http://ianenders.com/style.css)
03:53:52	48152/48152	---M--	200	added ('OK')	application/octet-stream	etag:%22f293250c0545f21ce64647eb72a77664%22	http://ianenders.com/c540.woff	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540.woff	(from http://ianenders.com/resume.css)
03:54:00	122808/122808	---M--	200	added ('OK')	application/octet-stream	etag:%223c828681363ddcbd55cc5389fcda8cb8%22	http://ianenders.com/c540.eot	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540.eot	(from http://ianenders.com/resume.css)
03:54:04	122808/122808	---M--	200	added ('OK')	application/octet-stream	etag:%223c828681363ddcbd55cc5389fcda8cb8%22	http://ianenders.com/c540.eot?	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540d41d.eot	(from http://ianenders.com/resume.css)
03:54:04	122596/122596	---M--	200	added ('OK')	application/octet-stream	etag:%2235a10b00ed8604cd2b47f8f070393bbe%22	http://ianenders.com/c540.ttf	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540.ttf	(from http://ianenders.com/resume.css)
03:54:09	103560/103560	---M--	200	added ('OK')	application/octet-stream	etag:%22ef2acdd79a3cd9c88ad5a3b15881fcb4%22	http://ianenders.com/c540-italic.eot	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540-italic.eot	(from http://ianenders.com/resume.css)
03:54:10	40056/40056	---M--	200	added ('OK')	application/octet-stream	etag:%22898f055d7fef0fb5760299d67cc7c410%22	http://ianenders.com/c540-italic.woff	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540-italic.woff	(from http://ianenders.com/resume.css)
03:54:14	103560/103560	---M--	200	added ('OK')	application/octet-stream	etag:%22ef2acdd79a3cd9c88ad5a3b15881fcb4%22	http://ianenders.com/c540-italic.eot?	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540-italicd41d.eot	(from http://ianenders.com/resume.css)
03:54:15	103348/103348	---M--	200	added ('OK')	application/octet-stream	etag:%22da6bacef77b03c373a63bdff6b8f7d1a%22	http://ianenders.com/c540-italic.ttf	C:/My%20Web%20Sites/Ian%20Enders%20NY%20template/ianenders.com/c540-italic.ttf	(from http://ianenders.com/resume.css)
